epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,55242.5,0.8063,1.49652,1.33204,0.59225,0.62256,0.64396,0.50524,0.77592,1.26319,1.37784,0.0020305,0.0020305,0.0020305
163,55591.1,0.80801,1.49536,1.33498,0.59395,0.6212,0.64493,0.50669,0.77466,1.26122,1.37676,0.001981,0.001981,0.001981
164,55935,0.80609,1.48526,1.33279,0.59562,0.62253,0.64555,0.50706,0.77376,1.26037,1.37603,0.0019315,0.0019315,0.0019315
165,56283.7,0.80044,1.48715,1.32933,0.597,0.62522,0.6468,0.5081,0.77353,1.25848,1.37562,0.001882,0.001882,0.001882
166,56628.9,0.80197,1.48099,1.33307,0.60031,0.62423,0.64768,0.50802,0.77307,1.25817,1.37496,0.0018325,0.0018325,0.0018325
167,56973.6,0.79788,1.47393,1.32725,0.60309,0.62304,0.64901,0.50917,0.77262,1.25641,1.37459,0.001783,0.001783,0.001783
168,57318.3,0.79642,1.47849,1.32378,0.6001,0.62836,0.64935,0.50995,0.77217,1.25493,1.37395,0.0017335,0.0017335,0.0017335
169,57662.5,0.79978,1.46829,1.32742,0.60272,0.62601,0.6505,0.51078,0.772,1.25379,1.37371,0.001684,0.001684,0.001684
170,58003.2,0.79315,1.46501,1.32403,0.61086,0.62257,0.65019,0.5099,0.77191,1.25361,1.37351,0.0016345,0.0016345,0.0016345
171,58345.8,0.78993,1.44751,1.3208,0.60959,0.61969,0.651,0.511,0.77174,1.25171,1.37305,0.001585,0.001585,0.001585
172,58689.4,0.79302,1.45014,1.32092,0.61066,0.62119,0.65198,0.51112,0.77145,1.24984,1.37277,0.0015355,0.0015355,0.0015355
173,59033.8,0.78818,1.45063,1.32095,0.61037,0.61923,0.65222,0.51235,0.77099,1.24837,1.3724,0.001486,0.001486,0.001486
174,59383.7,0.78571,1.43429,1.31624,0.61355,0.62139,0.65343,0.51355,0.77047,1.24668,1.37188,0.0014365,0.0014365,0.0014365
175,59727.2,0.78147,1.42447,1.31236,0.61158,0.62362,0.65432,0.51428,0.77005,1.24517,1.37169,0.001387,0.001387,0.001387
176,60074.7,0.77914,1.438,1.31179,0.61233,0.62543,0.6546,0.51486,0.77075,1.24408,1.37223,0.0013375,0.0013375,0.0013375
177,60417.3,0.77433,1.41744,1.31097,0.61031,0.62581,0.65533,0.5151,0.76981,1.24246,1.37111,0.001288,0.001288,0.001288
178,60757.3,0.77905,1.4249,1.31118,0.61251,0.62476,0.65719,0.51683,0.76955,1.24029,1.37078,0.0012385,0.0012385,0.0012385
179,61101,0.77254,1.40543,1.30823,0.61114,0.62124,0.6582,0.51791,0.76896,1.23811,1.37009,0.001189,0.001189,0.001189
180,61444.2,0.77126,1.40695,1.30566,0.6118,0.62685,0.6593,0.51985,0.76861,1.23559,1.36972,0.0011395,0.0011395,0.0011395
181,61787,0.772,1.39653,1.30941,0.61116,0.63149,0.66036,0.52133,0.76798,1.23239,1.36906,0.00109,0.00109,0.00109
